"Location Name","Location ID","Comments within last month / comments last recorded","Registered manager","Location UPRN","Location telephone number","Location Web Address","Location Local Authority","Location ADASS Region","Primary inspection category","Service Types","Care homes beds","Location HSCA start date","Location HSCA end date","Dormant","Location Latest Overall Rating","Publication Date","Service users supported","Size of care home (bands by number of beds)","Location length of service (bands by number of years)","Location safe rating","Location effective rating","Location caring rating","Location responsive rating","Location well-led rating","Provider Name","Provider ID","Provider HSCA start date","Provider length of service (bands by number of years)","Provider Ownership Type","Provider Companies House Number","Provider characteristic - number of locations","Provider characteristic - national group size (based on locations)","Provider characteristic - number of beds","Provider characteristic - share of beds (nationally)","Provider characteristic - number of local authority areas where it has locations","Provider characteristic - % of local authority areas where it has locations","Brand Name","Brand ID","Brand characteristic - number of locations","Brand characteristic -national group size (based on locations)","Brand characteristic - number of beds","Brand characteristic - share of beds (nationally)","Brand characteristic - % of local authority areas where it has locations","Brand characteristic - number of local authority areas where it has locations"
"Abbeycroft","1-113524636","","Robinson, Emma, Miss","100120615701","01527540403","","Worcestershire","West Midlands (ADASS Region)","Residential social care","Care home service without nursing","7","2011-01-10","","N","Good","1/10/2011 12:00:00 AM","Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities","1-9 beds","More than 8 years","Good","Good","Good","Good","Good","Edge View Homes Limited","1-101606293","10/1/2010 12:00:00 AM","15","Organisation","03852350","7","6 - 10 locations","50","0.01","6","4.00%","","","","","","0","",""
"Abbeycroft Residential Care Home","1-126243430","","Rashid, Halima Sadia, Mrs","100012543772","01706225582","www.rhcl.co.uk","Lancashire","North West (ADASS Region)","Residential social care","Care home service without nursing","33","2011-01-19","","N","Requires improvement","1/19/2011 12:00:00 AM","Caring for adults over 65 yrs, Dementia, Mental health conditions, Physical disabilities","25-39 beds","More than 8 years","Requires improvement","Requires improvement","Good","Requires improvement","Requires improvement","Regency Healthcare Limited","1-101697173","10/1/2010 12:00:00 AM","15","Organisation","04833014","5","2 - 5 locations","154","0.02","4","3.00%","","","","","","0","",""
"Abbeydale - Derby","1-112867536","","Jenkinson, Karen, Mrs","100030310135","01332331182","www.abbeydalenursinghome.co.uk","Derby","East Midlands (ADASS Region)","Residential social care","Care home service with nursing","41","2011-01-21","","N","Good","1/21/2011 12:00:00 AM","Caring for adults over 65 yrs, Dementia, Physical disabilities","40-60 beds","More than 8 years","Good","Good","Good","Good","Good","Willover Property Limited","1-101611684","10/1/2010 12:00:00 AM","15","Organisation","01154443","2","2 - 5 locations","83","0.01","1","1.00%","","","","","","0","",""
"Abbeydale Nursing Home","1-297860007","","Johnson, Kerry Louise, Miss","38039660","01512982218","","Liverpool","North West (ADASS Region)","Residential social care","Care home service with nursing","36","2011-09-12","","N","Requires improvement","9/12/2011 12:00:00 AM","Caring for adults over 65 yrs, Dementia, Physical disabilities","25-39 beds","More than 8 years","Requires improvement","Good","Good","Good","Requires improvement","Mr Bharat Kumar Modhvadia and Mrs Jaya Bharat Modhvadia","1-101633260","10/1/2010 12:00:00 AM","15","Partnership","","2","2 - 5 locations","68","0.01","2","1.00%","","","","","","0","",""
"Abbeydale Nursing Home","1-364877457","","Lee, Rachel Victoria, Miss","100012472014","01617072501","","Salford","North West (ADASS Region)","Residential social care","Care home service with nursing","24","2012-03-13","","N","Good","3/13/2012 12:00:00 AM","Caring for adults over 65 yrs, Dementia, Physical disabilities","10-24 beds","More than 8 years","Good","Requires improvement","Good","Good","Good","Innovation Health Care Ltd","1-363691721","3/13/2012 12:00:00 AM","13","Organisation","07846675","1","1 location","24","0","1","1.00%","","","","","","0","",""
"Abbeydale Residential Care Home","1-207504800","","Dey, Francesca Louise, Miss","200004706895","01943603074","www.abbeydalecarehome.co.uk","Bradford","Yorkshire and Humber (ADASS Region)","Residential social care","Care home service without nursing","36","2011-04-12","","N","Outstanding","4/12/2011 12:00:00 AM","Caring for adults over 65 yrs, Dementia, Physical disabilities, Sensory impairment","25-39 beds","More than 8 years","Good","Good","Outstanding","Outstanding","Outstanding","Abbeydale (Ilkley) Limited","1-127507751","4/12/2011 12:00:00 AM","14","Organisation","01861332","1","1 location","36","0","1","1.00%","","","","","","0","",""
"Abbeydale Residential Care Home - Bury","1-119815378","","Mcmahon, Victoria Bernadette, Miss","100012434722","01617615613","www.abbeydalecarehome.com","Bury","North West (ADASS Region)","Residential social care","Care home service without nursing","32","2011-02-02","","N","Good","2/2/2011 12:00:00 AM","Caring for adults over 65 yrs, Dementia, Mental health conditions, Sensory impairment","25-39 beds","More than 8 years","Good","Good","Good","Good","Requires improvement","Prime Healthcare (Bury) Limited","1-101690348","10/1/2010 12:00:00 AM","15","Organisation","06456344","1","1 location","32","0","1","1.00%","","","","","","0","",""
"Abbeyfield - Grove House Residential","1-2540376971","","Airton, Carol, Ms","200004702165","01943886000","www.abbeyfieldthedales.co.uk","Bradford","Yorkshire and Humber (ADASS Region)","Residential social care","Care home service without nursing","16","2016-03-31","","N","Good","3/31/2016 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Physical disabilities, Sensory impairment","10-24 beds","More than 8 years","Good","Good","Good","Good","Good","Abbeyfield The Dales Limited","1-2427870901","3/31/2016 12:00:00 AM","9","Organisation","09008680","6","6 - 10 locations","46","0.01","3","2.00%","BRAND Abbeyfield Society","BD112","119","More than 50 locations","2907","0.33","55","35.00%"
"Abbeyfield - St George's House","1-130857157","","","100091578397","01702331512","www.abbeyfieldsouthend.co.uk","Southend-on-Sea","East (ADASS Region)","Residential social care","Care home service without nursing","26","2011-01-17","","N","Good","1/17/2011 12:00:00 AM","Caring for adults over 65 yrs","25-39 beds","More than 8 years","Good","Good","Good","Good","Good","Avocet Care & Support Ltd","1-101650356","10/1/2010 12:00:00 AM","15","Organisation","00956345","1","1 location","26","0","1","1.00%","BRAND Abbeyfield Society","BD112","119","More than 50 locations","2907","0.33","55","35.00%"
"Abbeyfield - The Beeches","1-2540377241","","Wilson, Angela, Mrs","35759899","01943882430","www.abbeyfieldthedales.co.uk","Bradford","Yorkshire and Humber (ADASS Region)","Community based adult social care services","Domiciliary care service, Supported living service","0","2016-04-07","","N","Good","4/7/2016 12:00:00 AM","Caring for adults over 65 yrs","","More than 8 years","Good","Good","Good","Good","Good","Abbeyfield The Dales Limited","1-2427870901","3/31/2016 12:00:00 AM","9","Organisation","09008680","6","6 - 10 locations","46","0.01","3","2.00%","BRAND Abbeyfield Society","BD112","119","More than 50 locations","2907","0.33","55","35.00%"
"Abbeyfield Care Home Clitheroe","1-114969802","","Smith, Andrea, Ms","100012408279","01200442550","www.abbeyfieldcarehomeclitheroe.org","Lancashire","North West (ADASS Region)","Residential social care","Care home service without nursing","40","2010-11-24","","N","Good","11/24/2010 12:00:00 AM","Caring for adults over 65 yrs, Dementia, Physical disabilities, Sensory impairment","40-60 beds","More than 8 years","Good","Good","Good","Good","Good","Abbeyfield Lancashire Extra Care Society Limited","1-101612780","10/1/2010 12:00:00 AM","15","Organisation","IP26309R","1","1 location","40","0","1","1.00%","BRAND Abbeyfield Society","BD112","119","More than 50 locations","2907","0.33","55","35.00%"
"Abbeyfield Deben Extra Care Society Limited","1-112743419","","","100091397251","01394386204","","Suffolk","East (ADASS Region)","Residential social care","Care home service without nursing","24","2010-11-23","","N","Good","11/23/2010 12:00:00 AM","Caring for adults over 65 yrs","10-24 beds","More than 8 years","Good","Good","Good","Good","Good","Abbeyfield Deben Extra Care Society Limited (The)","1-101614850","10/1/2010 12:00:00 AM","15","Organisation","IP22810R","1","1 location","24","0","1","1.00%","BRAND Abbeyfield Society","BD112","119","More than 50 locations","2907","0.33","55","35.00%"
"Abbeyfield Grange Ltd","1-2813642012","","Coates, Rachel Kirsty, Mrs","100050930662","01142759482","","Sheffield","Yorkshire and Humber (ADASS Region)","Residential social care","Care home service without nursing","16","2016-09-06","","N","Good","9/6/2016 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Mental health conditions","10-24 beds","More than 8 years","Good","Good","Good","Good","Good","Abbeyfield Grange Residential Home Ltd","1-2525851179","9/6/2016 12:00:00 AM","9","Organisation","10028708","1","1 location","16","0","1","1.00%","","","","","","0","",""
"Abbeyfield Grove House - DCA","1-2540377052","","Downs, Fiona Jayne, Mrs","","01943886000","www.abbeyfieldthdales.co.uk","Bradford","Yorkshire and Humber (ADASS Region)","Community based adult social care services","Domiciliary care service, Extra Care housing services, Supported living service","0","2016-04-07","","N","Good","4/7/2016 12:00:00 AM","Caring for adults over 65 yrs, Dementia, Physical disabilities, Sensory impairment","","More than 8 years","Good","Good","Good","Good","Good","Abbeyfield The Dales Limited","1-2427870901","3/31/2016 12:00:00 AM","9","Organisation","09008680","6","6 - 10 locations","46","0.01","3","2.00%","BRAND Abbeyfield Society","BD112","119","More than 50 locations","2907","0.33","55","35.00%"
"Abbeyfield Hope Bank View","1-4492090037","","Elliott, Kimberley Ann, Mrs","","01917317591","","Sunderland","North East (ADASS Region)","Community based adult social care services","Domiciliary care service, Extra Care housing services","0","2017-12-01","","N","Good","12/1/2017 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Mental health conditions, Physical disabilities, Sensory impairment","","More than 8 years","Good","Good","Good","Good","Requires Improvement","Abbeyfield Society (The)","1-102642859","10/1/2010 12:00:00 AM","15","Organisation","00574816","48","21 - 50 locations","1067","0.12","35","23.00%","BRAND Abbeyfield Society","BD112","119","More than 50 locations","2907","0.33","55","35.00%"
"Abbeyfield House","1-229597497","","Denby, Elaine, Mrs","100012477643","01614285434","www.caritasservices.com","Stockport","North West (ADASS Region)","Residential social care","Care home service with nursing","7","2011-04-17","","N","Requires improvement","4/17/2011 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Sensory impairment","1-9 beds","More than 8 years","Requires improvement","Good","Good","Good","Requires improvement","Caritas Services Limited","1-101618788","10/1/2010 12:00:00 AM","15","Organisation","05730785","4","2 - 5 locations","27","0","4","3.00%","","","","","","0","",""
"Abbeyfield House","1-19560242722","","Dixon, Heather, Mrs","100110719955","01665601876","","Northumberland","North East (ADASS Region)","Residential social care","Care home service without nursing","25","2024-11-01","","N","Requires improvement","11/1/2024 12:00:00 AM","Caring for adults over 65 yrs, Dementia","25-39 beds","More than 1 year but less than 3 years","Requires improvement","Good","Good","Good","Requires improvement","Abbeyfield Northumbria","1-101611405","10/1/2010 12:00:00 AM","15","Organisation","00702983","3","2 - 5 locations","81","0.01","2","1.00%","BRAND Abbeyfield Society","BD112","119","More than 50 locations","2907","0.33","55","35.00%"
"Abbeyfield House","1-6658597282","","Snow, Elizabeth, Mrs","100070576857","01212409358","","Birmingham","West Midlands (ADASS Region)","Residential social care","Care home service without nursing","7","2019-04-15","","N","Good","4/15/2019 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities, Sensory impairment","1-9 beds","More than 5 years but less than 8 years","Good","Good","Good","Good","Good","Longmoor Care Limited","1-6447698543","4/15/2019 12:00:00 AM","6","Organisation","11720551","3","2 - 5 locations","17","0","1","1.00%","","","","","","0","",""
"Abbeyfield House - New Malden","1-137749858","","","128003482","02089490022","www.abbeyfield.com","Kingston upon Thames","Greater London (ADASS Region)","Residential social care","Care home service without nursing","36","2011-03-16","","N","Good","3/16/2011 12:00:00 AM","Caring for adults under 65 yrs, Dementia","25-39 beds","More than 8 years","Good","Good","Good","Good","Requires improvement","Abbeyfield Society (The)","1-102642859","10/1/2010 12:00:00 AM","15","Organisation","00574816","48","21 - 50 locations","1067","0.12","35","23.00%","BRAND Abbeyfield Society","BD112","119","More than 50 locations","2907","0.33","55","35.00%"
"Abbeyfield House - Stockport","1-137749770","","Obrien, Courtney Pearl, Miss","100011506030","01614390046","www.abbeyfield.com","Stockport","North West (ADASS Region)","Residential social care","Care home service without nursing","16","2011-03-16","","N","Good","3/16/2011 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs","10-24 beds","More than 8 years","Good","Good","Good","Good","Good","Abbeyfield Society (The)","1-102642859","10/1/2010 12:00:00 AM","15","Organisation","00574816","48","21 - 50 locations","1067","0.12","35","23.00%","BRAND Abbeyfield Society","BD112","119","More than 50 locations","2907","0.33","55","35.00%"
"Abbeyfield House - York","1-123410176","","Nicholson, Jane Fiona, Miss","","01904704500","","York","Yorkshire and Humber (ADASS Region)","Community based adult social care services","Extra Care housing services","0","2010-11-24","","N","Good","11/24/2010 12:00:00 AM","Caring for adults over 65 yrs","","More than 8 years","Good","Good","Good","Good","Good","Abbeyfield York Society Limited (The)","1-101647999","10/1/2010 12:00:00 AM","15","Organisation","00721891","1","1 location","0","0","1","1.00%","BRAND Abbeyfield Society","BD112","119","More than 50 locations","2907","0.33","55","35.00%"
"Abbeyfield Lear House","1-106890455","","","42166698","01516251883","www.abbeyfieldwestkirby.co.uk","Wirral","North West (ADASS Region)","Residential social care","Care home service without nursing","33","2010-11-23","","N","Requires Improvement","11/23/2010 12:00:00 AM","Caring for adults over 65 yrs","25-39 beds","More than 8 years","Requires Improvement","Requires Improvement","Good","Good","Requires Improvement","Abbeyfield Hoylake & West Kirby Society Limited","1-101613878","10/1/2010 12:00:00 AM","15","Organisation","00784499","1","1 location","33","0","1","1.00%","BRAND Abbeyfield Society","BD112","119","More than 50 locations","2907","0.33","55","35.00%"
"Abbeyfield Lodge","1-2849062388","","Gibbons, Eliza Marie, Miss","200001009819","02031950143","www.choicecaregroup.com","Hampshire","South East (ADASS Region)","Residential social care","Care home service without nursing","13","2016-10-10","","N","Good","10/10/2016 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Mental health conditions","10-24 beds","More than 8 years","Good","Good","Good","Good","Good","Community Homes of Intensive Care and Education Limited","1-102643199","10/1/2010 12:00:00 AM","15","Organisation","02704854","74","More than 50 locations","575","0.06","18","12.00%","BRAND Choice Care Group","BD183","127","More than 50 locations","962","0.11","24","15.00%"
